"","X","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"1",1,"Christian McCaffrey","RB","SF",352,20.9,44.5,329,385,193,218,186,1,1,1,1,1,1.38,68.8,1,200,152,136
"2",2,"Breece Hall","RB","NYJ",307,32.1,7.94,271,354,148,159,155,2,2,3,2,1,5.26,54.9,46,200,107,91
"3",3,"Bijan Robinson","RB","ATL",299,28.5,25.5,262,334,140,150,135,3,3,6,3,2,5.49,55.7,30,200,99,83
"4",4,"CeeDee Lamb","WR","DAL",336,34.8,2.95,285,399,131,101,163,3,13,2,1,1,4.3,56.4,63,237,99,120
"5",5,"Tyreek Hill","WR","MIA",333,24,21.1,300,379,129,117,144,5,6,4,2,2,3.63,60.9,31,237,96,117
"6",21,"Josh Allen","QB","BUF",352,27.6,2.32,311,389,77.8,66.8,87.3,5,30,14,1,1,25.5,31.5,54,256,96,-9999
"7",25,"Jalen Hurts","QB","PHI",349,22,19.9,312,376,75.4,67.5,73.7,7,29,22,2,2,32.2,25.5,20,256,93,-9999
"8",8,"Amon-Ra St. Brown","WR","DET",312,32,5.26,279,374,107,96,139,8,16,5,3,2,7.86,52.6,58,237,75,96
"9",6,"Saquon Barkley","RB","PHI",274,37.4,6.69,231,327,115,120,128,9,5,8,4,3,10.8,49.2,69,200,74,58
"10",31,"Patrick Mahomes","QB","KC",330,23.6,8.09,303,362,55.6,58.6,59.9,9,37,29,3,2,29,28.5,29,256,74,-9999
"11",9,"Ja'Marr Chase","WR","CIN",307,29.4,0.923,288,367,102,105,132,11,11,7,4,2,7.6,52.5,52,237,70,91
"12",11,"Justin Jefferson","WR","MIN",306,29.1,21.5,282,363,101,98.7,127,12,14,9,5,3,8.54,53.3,51,237,69,90
"13",7,"Jonathan Taylor","RB","IND",267,20.7,6.72,240,297,108,129,97.7,13,4,12,5,3,10.5,47.9,11,200,67,51
"14",36,"Lamar Jackson","QB","BAL",322,23.8,20.1,297,354,47.5,52.6,52,14,44,31,4,3,36.7,24.2,23,256,66,-9999
"15",10,"Jahmyr Gibbs","RB","DET",260,36,3,225,326,101,114,127,15,7,10,6,3,15.1,41.1,59,200,60,44
"16",12,"Kyren Williams","RB","LAR",257,25.6,9.95,224,302,98.5,113,104,16,8,11,7,4,16.6,39.5,49,200,57,41
"17",19,"Travis Kelce","TE","KC",229,21.6,2.12,205,260,78.5,75.5,79.3,17,26,20,1,1,28.8,30.6,38,178,51,13
"18",22,"Sam LaPorta","TE","DET",227,18.1,19.3,205,255,76.4,75.7,73.9,18,25,21,2,2,34.1,24.4,15,178,49,11
"19",13,"Travis Etienne","RB","JAC",247,21.9,4.81,222,284,88.5,110,84.6,19,9,17,8,4,20.4,35,25,200,47,31
"20",17,"Puka Nacua","WR","LAR",284,21.6,1.13,261,318,79.8,77.3,82.4,19,23,19,6,3,16.4,39.5,32,237,47,68
"21",18,"A.J. Brown","WR","PHI",283,21.2,13.2,266,325,78.6,82.8,89.5,21,21,13,7,4,12.4,46.2,14,237,46,67
"22",62,"C.J. Stroud","QB","HOU",301,24.9,1.48,274,341,27.3,29.6,39.2,22,72,38,5,3,47,16.9,49,256,45,-9999
"23",66,"Anthony Richardson","QB","IND",300,24,0.276,271,340,25.9,26.1,37.9,23,73,41,6,3,53.9,15.1,43,256,44,-9999
