"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",316,19,42.4,295,345,146,142,141,1,1,1,1,"1",1.36,69.7,6
"2","Breece Hall","RB","NYJ",274,27.3,5.7,247,313,103,94,109,2,2,4,2,"1",4.98,57.2,48
"3","Bijan Robinson","RB","ATL",268,26.7,19.3,238,301,97.6,85.4,96.7,3,4,5,3,"2",5.19,59,42
"4","CeeDee Lamb","WR","DAL",287,24.1,8.85,263,334,96.4,90.8,124,4,3,2,1,"1",3.88,59.8,36
"5","Tyreek Hill","WR","MIA",278,22.4,24.3,247,321,87.5,75.4,111,5,5,3,2,"2",4.02,62.1,30
"6","Josh Allen","QB","BUF",393,29.5,5.74,350,434,79.6,69.1,86.8,6,7,10,1,"1",25.2,31.2,17
"7","Saquon Barkley","RB","PHI",249,33.1,1.1,214,296,78.4,60.7,92.2,7,13,9,4,"2",10.6,49.3,75
"8","Jonathan Taylor","RB","IND",248,21,14.4,224,279,77.3,70.5,75.2,8,6,12,5,"3",10.2,50.2,27
"9","Jalen Hurts","QB","PHI",387,23.3,12.3,349,415,73.8,68,68.3,9,8,14,2,"1",31.6,26,1
"10","Sam LaPorta","TE","DET",183,14.9,0.367,164,205,63.9,65.4,61.5,10,10,18,1,"1",34.2,24.3,26
"11","Travis Kelce","TE","KC",183,17.2,12.9,164,209,63.6,65.5,66.3,11,9,15,2,"2",29,31,35
"12","Amon-Ra St. Brown","WR","DET",254,27.1,0.478,224,305,63.2,52.6,95.1,12,17,7,3,"2",7.5,54.6,53
"13","Jahmyr Gibbs","RB","DET",233,31.8,0.459,201,290,62.9,48.4,86.5,13,19,11,6,"3",15.2,42.7,68
"14","Justin Jefferson","WR","MIN",253,26.3,0.883,230,304,62.7,58.1,93.4,14,15,8,4,"2",8.64,54.4,59
"15","Kyren Williams","RB","LAR",233,25.1,9.93,206,277,62.4,52.8,73.1,15,16,13,7,"3",16.7,40.6,59
"16","Ja'Marr Chase","WR","CIN",252,26.1,15.2,234,306,61.8,61.7,96,16,12,6,5,"3",7.92,53.4,51
"17","Patrick Mahomes","QB","KC",375,25.8,17.8,344,410,61.5,63.6,63,17,11,17,3,"2",28.9,27.4,11
