"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Bijan Robinson","RB","ATL",333,20.4,11.9,309,365,185,195,179,1,1,1,1,"1",2.82,59.7,10
"Saquon Barkley","RB","PHI",321,14.7,1.71,302,347,173,188,161,2,2,2,2,"1",3.46,59.5,3
"Jahmyr Gibbs","RB","DET",319,12.2,27,300,335,171,187,149,3,3,5,3,"2",4.58,56.7,1
"Ja'Marr Chase","WR","CIN",358,24.2,44.2,329,390,157,157,151,4,4,4,1,"1",2.2,62.5,10
"Christian McCaffrey","RB","SF",292,26.6,1.39,268,341,144,155,155,5,5,3,4,"2",9.4,56.6,46
"Devon Achane","RB","MIA",291,16.5,17.8,266,314,143,152,128,6,6,6,5,"3",18.2,38.7,9
"Derrick Henry","RB","BAL",273,20.1,2.15,244,302,125,131,116,7,8,10,6,"3",9.38,49,16
"Ashton Jeanty","RB","LVR",271,26.5,0.0541,225,302,123,112,116,8,15,9,7,"3",11.5,48.9,39
"Josh Jacobs","RB","GB",271,20.1,4.56,244,301,123,131,115,9,7,11,8,"3",15.4,41.4,13
"Chase Brown","RB","CIN",266,24.2,0.905,225,298,118,112,112,10,16,12,9,"3",22.5,38,32
"Bucky Irving","RB","TB",265,21.3,8.77,235,292,117,122,106,11,10,13,10,"4",20,37.1,19
"Justin Jefferson","WR","MIN",314,27.5,0.512,280,366,113,108,127,12,17,7,2,"1",7.02,54.3,22
"CeeDee Lamb","WR","DAL",313,16.1,10.7,289,335,112,117,95.5,13,12,16,3,"1",7.68,54.2,1
"Brock Bowers","TE","LVR",256,10.6,7.96,245,270,109,113,95,14,13,17,1,"1",27.9,32.9,3
"Jonathan Taylor","RB","IND",257,18.8,0.689,232,282,108,119,96.2,15,11,14,11,"4",17,41.6,12
"Kyren Williams","RB","LAR",256,15.4,8.74,235,276,108,122,89.7,16,9,20,12,"4",22,33.9,7
"Malik Nabers","WR","NYG",302,30.6,2.98,274,357,102,102,118,17,19,8,4,"1",13.7,45.8,40
"Trey McBride","TE","ARI",248,9.24,23.6,238,260,102,106,84.6,18,18,25,2,"2",36,28.5,1
"Alvin Kamara","RB","NO",247,20.3,8.86,226,278,98.8,113,91.8,19,14,18,13,"5",39.7,24.1,20
"Puka Nacua","WR","LAR",299,23.8,0.45,273,335,98.8,101,95.9,20,21,15,5,"1",16.2,42.4,24
"Amon-Ra St. Brown","WR","DET",299,19.7,14.9,274,324,98.3,102,84.1,21,20,26,6,"2",14.2,47.3,8
"James Cook","RB","BUF",238,22.8,4.53,214,269,90,101,82.8,22,22,27,14,"5",28.7,27.8,26
"Josh Allen","QB","BUF",372,20.5,4.71,340,396,89.5,76.5,88.3,23,29,22,1,"1",17.8,36.1,9
"Breece Hall","RB","NYJ",234,24.3,5.9,213,277,85.5,99.6,91.4,24,23,19,15,"5",41.8,19.5,45
"Lamar Jackson","QB","BAL",367,18.8,13.2,344,396,84.8,79.7,88.3,25,27,21,2,"1",18.8,34.2,6
"Brian Thomas Jr.","WR","JAC",284,24.1,1.35,245,317,83.4,73.4,77.8,26,30,28,7,"2",18,39.6,17
"Nico Collins","WR","HOU",283,16.5,7.22,263,308,82.1,91.3,68.6,27,24,34,8,"2",14.9,45.4,4
"James Conner","RB","ARI",228,19.9,0.244,197,252,79.6,83.5,65.6,28,26,35,16,"5",44.5,21.8,14
"Chuba Hubbard","RB","CAR",228,22.1,4.75,199,262,79.3,85.6,75.6,29,25,31,17,"5",43.9,21.2,28
"George Kittle","TE","SF",225,19.6,28.8,202,252,77.9,70.1,77,30,34,29,3,"3",39.2,24.2,29
"Drake London","WR","ATL",275,26,12.5,250,327,74.8,78.5,87.6,31,28,23,9,"3",23.1,37.8,31
"Kenneth Walker III","RB","SEA",223,20.1,1.21,184,241,74.6,70.4,55.4,32,33,37,18,"5",40.2,22.3,23
"Omarion Hampton","RB","LAC",222,28.9,1.34,182,256,73.4,68.3,70.1,33,36,33,19,"6",36.5,28.4,61
"TreVeyon Henderson","RB","NE",220,28.6,10.2,182,271,72,69,85.3,34,35,24,20,"6",47.6,22.6,64
"Jayden Daniels","QB","WAS",354,22.6,7.01,324,385,71.6,60.6,76.5,35,41,30,3,"2",27.5,27.6,14
"Jalen Hurts","QB","PHI",347,11.1,10.8,336,365,64.6,72.1,56.7,36,32,36,4,"2",31,26.8,1
"A.J. Brown","WR","PHI",263,17,0.697,235,283,62.3,63.2,43.8,37,38,44,10,"3",23.1,36.2,1
"D'Andre Swift","RB","CHI",210,29,5.25,176,261,61.8,63.1,74.6,38,39,32,21,"6",58.2,15.8,62
"Tyreek Hill","WR","MIA",262,13.8,0.916,244,286,61.7,72.1,46.8,39,31,42,11,"3",36.4,28.1,19
"Ladd McConkey","WR","LAC",261,18.2,5.74,240,293,60.7,67.8,53.7,40,37,38,12,"3",30.2,29.6,7
"Tony Pollard","RB","TEN",205,20.3,2.8,168,226,56.6,54.4,40.3,41,46,45,22,"6",65.1,15.4,22
"Jaxon Smith-Njigba","WR","SEA",256,22.2,5.91,227,291,55,54.6,51.8,42,45,39,13,"4",40.2,24.1,29
"Joe Burrow","QB","CIN",336,17.7,21.5,311,356,53.8,47.1,48.3,43,52,40,5,"3",29.3,24.5,3
"Aaron Jones","RB","MIN",202,13.3,5.34,176,212,53.8,62.5,26.4,44,40,54,23,"7",68.1,13.7,6
"Sam LaPorta","TE","DET",196,10.7,13,182,211,49.2,50.6,35.8,45,49,50,4,"4",57.1,11.4,11
"Tee Higgins","WR","CIN",250,24.1,2.03,209,276,49.1,36.9,36.5,46,58,49,14,"4",32.4,27.6,36
"RJ Harvey","RB","DEN",197,22.2,4.74,172,230,48.4,58.3,44.2,47,43,43,24,"7",62.8,15.1,41
"Davante Adams","WR","LAR",248,25.9,0.464,221,287,47.1,49.3,47,48,51,41,15,"4",41.4,23.6,46
"Terry McLaurin","WR","WAS",247,20.4,1.46,223,278,46.6,51.4,38.3,49,48,47,16,"4",39.7,22.5,43
"Mike Evans","WR","TB",246,14.6,5.51,229,266,45.1,57.1,26.2,50,44,55,17,"4",38.6,23.8,6
"David Montgomery","RB","DET",192,13.6,0.779,173,211,43.7,59.5,24.7,51,42,59,25,"7",61.3,13.3,4
"Tyrone Tracy","RB","NYG",191,22,8.39,159,225,42.9,45.9,38.8,52,53,46,26,"7",83.2,8.3,30
"Garrett Wilson","WR","NYJ",240,15,4.39,223,265,39.6,50.5,25.7,53,50,57,18,"4",48,19.9,12
"Travis Kelce","TE","KC",183,19.9,4.43,154,207,36.2,22.4,32,54,68,51,5,"4",67,12,46
"Marvin Harrison Jr.","WR","ARI",236,17,0.146,210,262,35.2,37.8,22.2,55,57,63,19,"4",43.9,19.8,21
"D.J. Moore","WR","CHI",236,18.7,3.67,215,267,35.1,42.6,27.5,56,55,53,20,"4",56,14.6,39
"Isiah Pacheco","RB","KC",183,24.6,6.44,143,212,34.5,29.4,26.1,57,64,56,27,"8",64.3,14.4,43
"Patrick Mahomes","QB","KC",314,13.4,9.26,295,332,32.3,31.3,23.6,58,62,60,6,"3",47.3,16.5,11
"T.J. Hockenson","TE","MIN",179,13.5,2.63,158,197,31.8,26.6,21.4,59,65,65,6,"4",71.3,8.39,17
"DK Metcalf","WR","PIT",232,5.69,0.772,225,240,31.4,53.3,0.37,60,47,126,21,"4",50.3,16.8,3
