"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"1","Ja'Marr Chase","WR","CIN",358,24.2,44.2,329,390,157,157,151,1,4,4,1,1,2.2,62.5,10,236,122,137
"2","Bijan Robinson","RB","ATL",333,20.4,11.9,309,365,185,195,179,2,1,1,1,1,2.82,59.7,10,220,113,112
"3","Josh Allen","QB","BUF",372,20.5,4.71,340,396,89.5,76.5,88.3,3,29,22,1,1,17.8,36.1,9,265,107,-9999
"4","Lamar Jackson","QB","BAL",367,18.8,13.2,344,396,84.8,79.7,88.3,4,27,21,2,1,18.8,34.2,6,265,102,-9999
"5","Saquon Barkley","RB","PHI",321,14.7,1.71,302,347,173,188,161,5,2,2,2,1,3.46,59.5,3,220,101,100
"6","Jahmyr Gibbs","RB","DET",319,12.2,27,300,335,171,187,149,6,3,5,3,2,4.58,56.7,1,220,99,98
"7","Brock Bowers","TE","LVR",256,10.6,7.96,245,270,109,113,95,7,13,17,1,1,27.9,32.9,3,163,93,35
"8","Jayden Daniels","QB","WAS",354,22.6,7.01,324,385,71.6,60.6,76.5,8,41,30,3,2,27.5,27.6,14,265,89,-9999
"9","Trey McBride","TE","ARI",248,9.24,23.6,238,260,102,106,84.6,9,18,25,2,2,36,28.5,1,163,85,27
"10","Jalen Hurts","QB","PHI",347,11.1,10.8,336,365,64.6,72.1,56.7,10,32,36,4,2,31,26.8,1,265,82,-9999
"11","Justin Jefferson","WR","MIN",314,27.5,0.512,280,366,113,108,127,11,17,7,2,1,7.02,54.3,22,236,78,93
"12","CeeDee Lamb","WR","DAL",313,16.1,10.7,289,335,112,117,95.5,12,12,16,3,1,7.68,54.2,1,236,77,92
"13","Christian McCaffrey","RB","SF",292,26.6,1.39,268,341,144,155,155,13,5,3,4,2,9.4,56.6,46,220,72,71
"14","Devon Achane","RB","MIA",291,16.5,17.8,266,314,143,152,128,14,6,6,5,3,18.2,38.7,9,220,71,70
"15","Joe Burrow","QB","CIN",336,17.7,21.5,311,356,53.8,47.1,48.3,14,52,40,5,3,29.3,24.5,3,265,71,-9999
"16","Malik Nabers","WR","NYG",302,30.6,2.98,274,357,102,102,118,16,19,8,4,1,13.7,45.8,40,236,66,81
"17","Puka Nacua","WR","LAR",299,23.8,0.45,273,335,98.8,101,95.9,17,21,15,5,1,16.2,42.4,24,236,63,78
"18","Amon-Ra St. Brown","WR","DET",299,19.7,14.9,274,324,98.3,102,84.1,17,20,26,5,2,14.2,47.3,8,236,63,78
"19","George Kittle","TE","SF",225,19.6,28.8,202,252,77.9,70.1,77,19,34,29,3,3,39.2,24.2,29,163,62,4
"20","Derrick Henry","RB","BAL",273,20.1,2.15,244,302,125,131,116,20,8,10,6,3,9.38,49,16,220,53,52
"21","Ashton Jeanty","RB","LVR",271,26.5,0.0541,225,302,123,112,116,21,15,9,7,3,11.5,48.9,39,220,51,50
"22","Josh Jacobs","RB","GB",271,20.1,4.56,244,301,123,131,115,21,7,11,7,3,15.4,41.4,13,220,51,50
"23","Patrick Mahomes","QB","KC",314,13.4,9.26,295,332,32.3,31.3,23.6,23,62,60,6,3,47.3,16.5,11,265,49,-9999
"24","Brian Thomas Jr.","WR","JAC",284,24.1,1.35,245,317,83.4,73.4,77.8,24,30,28,7,2,18,39.6,17,236,48,63
"25","Nico Collins","WR","HOU",283,16.5,7.22,263,308,82.1,91.3,68.6,25,24,34,8,2,14.9,45.4,4,236,47,62
"26","Chase Brown","RB","CIN",266,24.2,0.905,225,298,118,112,112,26,16,12,9,3,22.5,38,32,220,46,45
"27","Bucky Irving","RB","TB",265,21.3,8.77,235,292,117,122,106,27,10,13,10,4,20,37.1,19,220,45,44
"28","Kyler Murray","QB","ARI",305,18.8,0.985,281,333,23,17.6,25.1,28,74,58,7,3,84.8,7.11,46,265,40,-9999
"29","Drake London","WR","ATL",275,26,12.5,250,327,74.8,78.5,87.6,29,28,23,9,3,23.1,37.8,31,236,39,54
"30","Baker Mayfield","QB","TB",304,17.3,2.76,281,323,22,17.2,15,29,75,71,8,3,57.5,10.9,29,265,39,-9999
"31","Jonathan Taylor","RB","IND",257,18.8,0.689,232,282,108,119,96.2,31,11,14,11,4,17,41.6,12,220,37,36
"32","Kyren Williams","RB","LAR",256,15.4,8.74,235,276,108,122,89.7,32,9,20,12,4,22,33.9,7,220,36,35
"33","Bo Nix","QB","DEN",301,16.8,7.77,275,325,19.2,11.4,16.7,32,88,68,9,4,67.6,9.31,26,265,36,-9999
"34","Sam LaPorta","TE","DET",196,10.7,13,182,211,49.2,50.6,35.8,34,49,50,4,4,57.1,11.4,11,163,33,-25
"35","Brock Purdy","QB","SF",294,10.9,5.49,277,311,11.5,13.3,3.19,35,81,108,10,4,90.8,5.85,60,265,29,-9999
"36","Alvin Kamara","RB","NO",247,20.3,8.86,226,278,98.8,113,91.8,36,14,18,13,5,39.7,24.1,20,220,27,26
"37","A.J. Brown","WR","PHI",263,17,0.697,235,283,62.3,63.2,43.8,36,38,44,10,3,23.1,36.2,1,236,27,42
"38","Tyreek Hill","WR","MIA",262,13.8,0.916,244,286,61.7,72.1,46.8,38,31,42,11,3,36.4,28.1,19,236,26,41
"39","Ladd McConkey","WR","LAC",261,18.2,5.74,240,293,60.7,67.8,53.7,39,37,38,12,3,30.2,29.6,7,236,25,40
"40","Justin Fields","QB","NYJ",288,13.6,2.78,275,308,6,10.8,0,40,92,130,11,4,106,4.56,71,265,23,-9999
