"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",281,31.4,8.48,237,325,135,121,153,1,2,1,1,"1",2.98,62.9,55
"2","Austin Ekeler","RB","LAC",273,19.4,25.7,239,297,126,122,125,2,1,6,2,"2",5.07,57.8,4
"3","Travis Kelce","TE","KC",235,17.2,61.5,217,262,125,120,126,3,3,4,1,"1",7.03,55.3,17
"4","Justin Jefferson","WR","MIN",274,28.2,10.6,235,310,119,99.1,130,4,7,2,1,"1",1.88,60.7,55
"5","Ja'Marr Chase","WR","CIN",263,25.9,5.55,226,306,108,90.3,126,5,13,3,2,"1",4.65,56.4,46
"6","Patrick Mahomes","QB","KC",431,13,4.58,419,456,103,116,111,6,4,8,1,"1",14.5,39.3,1
"7","Cooper Kupp","WR","LAR",258,23.3,4.56,226,286,102,90,107,7,14,10,3,"1",8.83,51.3,41
"8","Saquon Barkley","RB","NYG",247,27.5,2.99,219,289,101,102,117,8,6,7,3,"2",10.4,49.4,44
"9","Josh Allen","QB","BUF",427,27.9,7.78,393,470,98.7,90.6,125,9,11,5,2,"1",19.4,34.5,29
"10","Derrick Henry","RB","TEN",244,14.1,0.474,220,259,97.8,104,86.9,11,5,18,4,"2",14.6,46.5,1
"11","Tyreek Hill","WR","MIA",253,18.2,12.6,222,273,97.8,86.8,93.3,10,15,13,4,"2",8.16,53.4,8
"12","Nick Chubb","RB","CLE",244,25.4,1.25,212,277,97.3,95.5,106,12,9,11,5,"2",11,50.2,32
"13","Tony Pollard","RB","DAL",242,24.9,4.91,207,279,96,90.3,108,13,12,9,6,"3",15.4,43.1,31
"14","Josh Jacobs","RB","LVR",237,20.6,0.937,210,265,91.1,93.8,92.9,14,10,15,7,"3",20.8,37.4,23
"15","Jalen Hurts","QB","PHI",419,19.8,36.7,388,437,90.9,85.1,92.6,15,16,16,3,"2",20.6,34.9,6
"16","Bijan Robinson","RB","ATL",236,20.4,9.22,213,268,90.2,96.6,95.8,16,8,12,8,"3",8.83,56.4,7
"17","CeeDee Lamb","WR","DAL",241,27.8,2.98,205,272,85.2,69.2,93,17,21,14,5,"2",15.8,41.4,58
