"","X","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"1",1,"Christian McCaffrey","RB","SF",317,19.8,44.7,295,348,173,194,178,1,1,1,1,1,1.88,63.7,10,173,144,146
"2",2,"Breece Hall","RB","NYJ",272,30.8,7.78,238,314,128,137,144,2,2,2,2,1,10.4,41.8,53,173,99,101
"3",4,"CeeDee Lamb","WR","DAL",284,27.2,4.54,254,334,116,109,138,3,5,3,1,1,5.64,51.3,55,191,93,113
"4",3,"Bijan Robinson","RB","ATL",264,26.1,14.5,234,295,120,133,126,4,3,6,3,2,6.39,50,40,173,91,93
"5",5,"Tyreek Hill","WR","MIA",280,22.1,20.3,247,321,111,102,126,5,8,5,2,2,4.6,55.8,31,191,89,109
"6",6,"Saquon Barkley","RB","PHI",250,35.2,2.01,208,301,106,107,131,6,6,4,4,2,11,47.6,71,173,77,79
"7",7,"Jonathan Taylor","RB","IND",248,21.1,10.1,224,279,104,122,109,7,4,11,5,3,15.4,42,16,173,75,77
"8",14,"Josh Allen","QB","BUF",391,28.8,3.35,348,434,77.5,66.4,86.5,7,28,15,1,1,24.9,31.5,43,316,75,-9999
"9",15,"Jalen Hurts","QB","PHI",387,22.9,13.8,349,414,74.1,67.5,67.1,9,25,24,2,1,30.3,27.9,9,316,71,-9999
"10",9,"Justin Jefferson","WR","MIN",259,28.4,5.47,230,306,91,84.6,111,10,15,8,3,2,7.1,54.4,63,191,68,88
"11",8,"Kyren Williams","RB","LAR",238,22.7,4.73,207,277,93.8,106,107,11,7,12,6,3,24,31.2,41,173,65,67
"12",11,"Amon-Ra St. Brown","WR","DET",254,27.1,0.548,225,305,85.6,79.3,110,12,19,10,4,2,9.8,44.3,59,191,63,83
"13",25,"Travis Kelce","TE","KC",184,17.6,0.127,165,211,63.2,63.8,68.4,12,29,22,1,1,27.2,34.7,35,121,63,13
"14",27,"Sam LaPorta","TE","DET",184,15.2,14,164,206,63.1,63.5,62.9,12,30,29,1,2,47.7,17.8,26,121,63,13
"15",12,"Ja'Marr Chase","WR","CIN",253,25.4,15.7,236,306,85,90.3,111,15,13,9,5,3,6.75,51.7,49,191,62,82
"16",10,"Jahmyr Gibbs","RB","DET",233,31.3,10.5,202,290,89,100,121,16,9,7,7,3,17.2,34.4,54,173,60,62
"17",28,"Patrick Mahomes","QB","KC",373,26.8,20.9,344,410,60.3,62.4,63.1,17,31,28,3,2,27.1,31.1,31,316,57,-9999
"18",13,"Travis Etienne","RB","JAC",222,20.9,4.5,197,256,78.5,96.2,86.2,18,10,16,8,4,21.5,30.7,31,173,49,51
"19",31,"Mark Andrews","TE","BAL",170,12.7,7.2,158,185,49.1,57.2,42.6,18,36,36,3,2,45.3,21.5,15,121,49,-1
"20",20,"A.J. Brown","WR","PHI",238,19.7,1.7,219,276,69.3,73.9,80.7,20,23,17,6,3,13.3,43.5,21,191,47,67
"21",16,"Isiah Pacheco","RB","KC",218,13.4,1.93,196,233,74,95.3,63.4,21,11,27,9,4,29.9,24.1,6,173,45,47
"22",22,"Puka Nacua","WR","LAR",236,17.5,15.3,217,263,67.6,71.7,68,21,24,23,7,4,23.9,32.4,27,191,45,65
"23",17,"Josh Jacobs","RB","GB",216,28.4,0.122,187,259,72.1,85.9,89.4,23,14,13,10,4,28.8,32.3,60,173,43,45
"24",18,"Rachaad White","RB","TB",216,17.2,0.403,193,243,72,92.1,73.8,23,12,19,10,4,40.5,21.2,14,173,43,45
