"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","return_tds","return_tds_sd","fg_miss","fg_miss_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"1","Tom Brady","TB","QB","2504211","robust",4838.75,183.1011,37.325,2.453703,11.9025,0.452193000000001,52.1475,9.71103,1.6,0.22239,2.355,0.044478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Patrick Mahomes","KC","QB","2558125","robust",4855.675,255.0072,37.52,3.736152,11.6,1.816185,354.5,25.9455,2.705,0.756126,2.4325,0.0667169999999999,1.69,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Derek Carr","LVR","QB","2543499","robust",4637.2975,322.005893999999,28.895,2.802114,11.95,1.40847,130.73,14.292264,1.495,0.378063,4.17,0.422541,1.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Justin Herbert","LAC","QB","2565045","robust",4792.5875,149.7426,34.725,2.2239,13.1175,1.63086,297.2925,19.103301,3.15,0.22239,0.9325,0.02409225,3.72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Matthew Stafford","LAR","QB","79860","robust",4672.12,206.0814,35.01,1.275036,13.775,0.904385999999999,83.16,39.2889,1.0525,1.223145,1.935,0.0481845,2.13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Elbow",0,2022
"6","Aaron Rodgers","GB","QB","2506363","robust",4307.675,218.379567,34.56,2.349921,6.05,1.55673,123.75,18.68076,2.3775,0.808017,1.04875,0.0481845,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Dak Prescott","DAL","QB","2555260","robust",4515.2675,117.814809,33.7125,1.29727499999999,11.775,1.26021,216.5,33.3585,2.4925,0.578214,4.3625,0.19459125,5.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Joe Burrow","CIN","QB","2563722","robust",4604.23,144.5535,30.66,0.934038000000001,12.225,2.74281,163.2,37.8063,2.1,0.0518910000000002,1.5075,0.21683025,1.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Appendix",0,2022
"9","Josh Allen","BUF","QB","2560955","robust",4509.775,151.89237,36.15,2.52042,13.3625,0.911799,685.75,48.4513679999999,6.65,0.51891,2.9325,0.0500377499999999,1.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Russell Wilson","DEN","QB","2532975","robust",4224.775,140.03157,30.0725,1.55673,9.295,0.44478,277.55,35.441553,2.1,0.0741300000000001,1.515,0.3595305,1.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Kirk Cousins","MIN","QB","2532820","robust",4363.72,142.3296,32.77,1.571556,11.4,1.4826,118.2275,14.75187,1.0375,0.111195,2.740625,0.15752625,2.66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Kyler Murray","ARI","QB","2562382","robust",4226.25,68.3033820000002,27.4725,1.460361,12.315,1.949619,542.75,64.411557,5.75,0.504084,1.555,0.3298785,0.53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Trevor Lawrence","JAC","QB","2566163","robust",4006.0475,226.696953,22.5475,2.9652,13.975,1.371405,329.1,39.2889,2.165,0.22239,3.155,0.1149015,1.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Jared Goff","DET","QB","2555334","robust",3902.2,196.4445,24.6875,2.653854,12.1375,1.097124,93.64,17.316768,1,0,3.93,0.0963690000000002,3.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Matt Ryan","IND","QB","310","robust",4040.94,210.551439,25.86,0.867321000000001,11.09,1.18608,113.4375,35.5824,1.18,0.355824,3.67,0.0518909999999999,1.27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Jameis Winston","NO","QB","2552033","robust",3502.625,559.192242,25.5825,0.96369,11.59,1.616034,280,83.7669,1.68,0.756126,2.636875,0.16123275,2.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Knee - ACL + MCL",0,2022
"17","Tua Tagovailoa","MIA","QB","2564499","robust",4012.125,27.4281,25.5275,3.046743,13.2725,0.778364999999998,190.6475,33.06198,3,0.481845,1.8925,0.09080925,1.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Mac Jones","NE","QB","2566334","robust",3942.5825,138.867729,24.7425,1.4826,13.2675,1.831011,156.1025,33.810693,0.9,1.33434,2.55125,0.0481845,1.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Trey Lance","SF","QB","2566532","robust",3605.905,219.669429,22.9925,1.460361,13.31,0.926625,655.825,201.522405,5.15,1.349166,2.688125,0.0871027500000001,1.37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Lamar Jackson","BAL","QB","2560757","robust",3677.805,257.60175,24.675,3.11346,13.1,0.467018999999999,995.5275,107.4885,5.33,1.438122,3.23125,0.1667925,1.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Jalen Hurts","PHI","QB","2564832","robust",3663.4575,171.410799,23.71,4.4478,12.5175,1.578969,783.3075,48.681171,7.975,1.33434,2.525,0.2779875,3.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Mitchell Trubisky","PIT","QB","2558008","robust",2759.4175,429.954,16.7025,4.4478,9.525,1.564143,176.15,107.19198,1.84,1.245384,1.61875,0.3150525,2.38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Ryan Tannehill","TEN","QB","2532956","robust",3764,77.8365,25.1075,1.134189,12.125,0.518910000000001,257.95,23.86986,4.475,1.55673,2.155,0.044478,2.24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
